human995526,0,0,For one lady Sita whole Lanka was burnt down. For #Padmavati the fake ego of this Modi must be burnt down. Hell with #India & sick #Indians Let the hell get loose in this failed nation. #KarniSena #PMModiAtDavos,,#Padmavati #India #Indians #KarniSena #PMModiAtDavos,956314349815189505,https://twitter.com/human995526/status/956314349815189505
bhawnasingh8899,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/J5ehcqIYjh,,,956314342483427329,https://twitter.com/bhawnasingh8899/status/956314342483427329
Jean011,0,0,Biggest Challenges Faced by Truck Drivers and Small Transporters in India - http:// go.shr.lc/2eRbxxZ via Quikhop,,,956314339669094400,https://twitter.com/Jean011/status/956314339669094400
kunalkapoor8899,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/HOvvGiSRBs,,,956314330739499008,https://twitter.com/kunalkapoor8899/status/956314330739499008
kavita8800,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/3BjXpD8Qcn,,,956314316516577280,https://twitter.com/kavita8800/status/956314316516577280
raesh_md,0,0,I love my india pic.twitter.com/hSag9M6Qiu,,,956314314922639360,https://twitter.com/raesh_md/status/956314314922639360
megha8800,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/k3EKlwejG7,,,956314305938493440,https://twitter.com/megha8800/status/956314305938493440
puneetsharma332,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/OvajAzFt3d,,,956314295620513793,https://twitter.com/puneetsharma332/status/956314295620513793
ThePoliticalIn1,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/wdXy4HC3sN,,,956314267078316032,https://twitter.com/ThePoliticalIn1/status/956314267078316032
LukaZalk,0,0,Cuando Guillón se empieza a convertir en india pic.twitter.com/4nnfV8xmYa,,,956314263165001730,https://twitter.com/LukaZalk/status/956314263165001730
mediat_sports,0,0,Real Madrid dumped out of Copa del Rey by Leganés at Bernabéu https:// goo.gl/fb/S9S9co #India #sports,,#India #sports,956314256911360000,https://twitter.com/mediat_sports/status/956314256911360000
dawnbazely,0,0,"Anyway, your patience & devotion to thoughtful engagement is thoroughly admirable. I’m on sabbatical in India for 3 months, with somewhat limited wifi & youe tweets are a treat to read.",,,956314250498027520,https://twitter.com/dawnbazely/status/956314250498027520
MichelleMc91,59,0,Force India to change its name #F1 #ForceIndia http://www. thedrive.com/start-finish/1 7893/report-force-india-f1-team-could-change-its-name-to-force-f1 …,,#F1 #ForceIndia,956314222052499456,https://twitter.com/MichelleMc91/status/956314222052499456
Dwarfland25,0,0,You tend to become immune to the trivialities of our cosseted existence after living in India and West Africa for 4 years. Pardon me for not getting excited about a large Corporate being less than honest about how they run their business.,,,956314211273138176,https://twitter.com/Dwarfland25/status/956314211273138176
GoCricketVideos,0,0,"India vs Australia Cricket highlights IND vs AUS, 4th ODI highlights Cricket Gameplay ea https:// goo.gl/8mVfdJ #cricket",,#cricket,956314183494070273,https://twitter.com/GoCricketVideos/status/956314183494070273
erica_cirino,0,2,"So much plastic, so little time. https://www. theguardian.com/environment/20 18/jan/24/local-people-tackle-tide-of-beach-plastic-in-mumbai?CMP=twt_gu … #India #plastic #plasticpollution #oceans #environment",,#India #plastic #plasticpollution #oceans #environment,956314163948769280,https://twitter.com/erica_cirino/status/956314163948769280
clovis69,0,0,I’m not sure how the procurement of C-17 to India was so smooth,,,956314148673073152,https://twitter.com/clovis69/status/956314148673073152
zammuto_sofia,0,0,I’ve had an amazing day thank you so much xx,,,956314099364847616,https://twitter.com/zammuto_sofia/status/956314099364847616
HANMANDLOOK,0,0,"THERE ARE VERY LESS NUMBER OF TEMPLES IN INDIA FOR GODDESS OF EDUCATION, KNOWLEDGE 'SARASWATI'. ONE OF SUCH FAMOUS TEMPLE IS AT 'BASAR' (VILLAGE) OF NIRMAL DISTRICT OF TELANGANA. MANY PEOPLE FROM MAHARASTRA, TELANGANA, ANDHRA PRADESH VISIT BASAR FOR THEIR CHILDREN'AKSHARABHYASAM'",,,956314087603937280,https://twitter.com/HANMANDLOOK/status/956314087603937280
NativeWhore,0,0,"Poucas coisas me envergonhar como a Harvard Preto Law Students Association valor bitcoin na Índia . Poderia ser a folha mais credível ao racismo sistêmico contra estudantes de Direito negros. É, em vez disso se tornar uma ferramenta conveniente para ser usado por aqu...",,,956314078611410944,https://twitter.com/NativeWhore/status/956314078611410944
yogi_dear,0,0,@suhelseth I think it should be compulsory in India ... https:// twitter.com/UberFacts/stat us/956297330768187394 …,@suhelseth,,956314074723340289,https://twitter.com/yogi_dear/status/956314074723340289
kumares04,0,0,Once upon a time.. #south indianViscose was a pride of south India pic.twitter.com/JuxFCP7dQS,,#south,956314031362531328,https://twitter.com/kumares04/status/956314031362531328
PageSecretBlog,0,0,Child Growth & Development - https://www. pagesecret.com/child-growth-d evelopment/?utm_source=TW&utm_medium=Twitter+%230&utm_campaign=SNAP … -- #Best -Doctors-In- India #Child -Development #Child -Growth #Online -Doctors #Second -Opinion pic.twitter.com/5In7CHdAln,,#Best #Child #Child #Online #Second,956314018087567360,https://twitter.com/PageSecretBlog/status/956314018087567360
nanuramu,9,27,"Is this the reason you tweeted in English, unlike the PM who spoke in Hindi !! For the message to be loud and clear across India , cater people in their language. Period. https:// twitter.com/asyounotwish/s tatus/955815878846640129 …",,,956313987007766528,https://twitter.com/nanuramu/status/956313987007766528
aditi_jagat,0,0,Did anybody saw this... ..so happy to listen the word INDIAN from him ... pic.twitter.com/KHlExUYCbo,,,956313986236006401,https://twitter.com/aditi_jagat/status/956313986236006401
shyam275,0,0,"Answer: Rajiv's &Sonia's Swiss Bank deposits, land deals of Robber Vadra, the Mainos of Italy who smuggled out India 's antiques and treasures, Quattrocchi, your own foreign jaunts with your Colombian girl friend all these are the reasons Pappu",,,956313970851373056,https://twitter.com/shyam275/status/956313970851373056
buckyba7890,0,0,India funding to Isis in Afghanistan against Pakistan & china and Russia pic.twitter.com/XEHc7T5gEh,,,956313957530251265,https://twitter.com/buckyba7890/status/956313957530251265
PageSecretBlog,0,0,Child Growth & Development #Best -Doctors-In- India #Child -Development #Child -Growth #Online -Doctors #Second -Opinion https:// fb.me/5BBKpCizU,,#Best #Child #Child #Online #Second,956313951133978625,https://twitter.com/PageSecretBlog/status/956313951133978625
